service_request_id,date_requested,neighborhood,service,status,street_address,public_description
4183142,2023-04-08T04:29:00,Downtown,Street Light Maintenance,open,"1008 ISLAND AV, San Diego, CA 92101, USA",Downed street light on island between 10th and 11th
4183143,2023-04-08T04:34:00,Downtown,Shared Mobility Device,open,428 G St,7 illegal birds is greater than four
4183144,2023-04-08T04:37:00,Downtown,Shared Mobility Device,open,545 F St,Scooters knocked over on sidewalk
4183145,2023-04-08T04:37:00,Downtown,Shared Mobility Device,open,720 Fourth Ave,13 illegal birds is greater than four
4183146,2023-04-08T04:39:00,Downtown,Shared Mobility Device,open,310 Market St,9 illegal birds is greater than four
4183149,2023-04-08T04:52:00,Downtown,Shared Mobility Device,open,610 State St,11 illegal birds with a drop of sidewalk technology lie
4183150,2023-04-08T04:53:00,Navajo,Parks Issue,open,Princess del Cerro Park,Cut Grass
4183151,2023-04-08T05:11:00,Uptown,Encampment,open,402 Date St,"Homeless encampment is growing larger everyday  new tents popping up right in front of my apartment window.  Not only are they living in tents right outside my house, they are now coming up onto our property at all times throughout the day and night rummaging through our stuff (ie) the stuff in the back of my truck, checking door locks on the cars and apartment doors, taking ?outside? decrotive items, and using our driveway as their bathroom.  They need to be removed as soon as possible. I DO NOT FEEL SAFE LEAVING MY APARTMENT KNOWING THEY CAN BE ANYWHERE ON OUR PROPERTY.  I don?t know if they are dangerous but I do know that they are trespassing and that they don?t care.  Again, THEY NEED TO BE REMOVED AS SOON AS POSSIBLE WITHOUT DELAY.  I?m now living in fear day to day"
4183156,2023-04-08T05:29:00,Linda Vista,Parks Issue,open,5580 Friars Rd,"Poor maintenance of city park.  Hedges near sidewalk completely ignored.  Trash and overgrown, dead foliage all along perimeter of Silver Terrace park"
4183159,2023-04-08T05:35:00,Pacific Beach,Shared Mobility Device,open,4553?4599 Dawes St,Another trifecta sidewalk technology lie with Ada violations and less than 15 feet from a fire hydrant
4183161,2023-04-08T05:52:00,Otay Mesa-Nestor,Weed Cleanup,open,2705 Elm Ave,"Weeds on city land creating traffic visibility hazard, cannot exit my driveway safely"
4183162,2023-04-08T06:07:00,Downtown,Shared Mobility Device,open,Waterfront Park,Sidewalk technology lie
4183163,2023-04-08T06:12:00,Downtown,Pothole,open,215 16th Street,"Large pothole on S/B 200 block of 16th Street. || LOCATION: 16th Street between ""K"" & ""L"" Streets. || LANE: West side of 16th Street || Southbound"
4183164,2023-04-08T06:14:00,Downtown,Shared Mobility Device,open,307 Market St,9 illegal birds second report The billionaires have one guy on a scooter trying to fix this entire downtown mess how is that possible unless they don?t want to fix a mess because there?s no city enforcement
4183166,2023-04-08T06:18:00,Otay Mesa,Missed Collection,open,771 Vista Santa Ines,Neighborhood missed trash collection for 2 days
4183168,2023-04-08T06:24:00,Downtown,Shared Mobility Device,open,352 Sixth Ave,Second report instead of them fixing the problem they simply organized the shit show 15 illegal birds look at the previous report it?s sad it?s pathetic it?s almost at the point where you have to laugh they are making a mockery of your municipal code they are laughing at you or you and them are laughing at the citizens of San Diego it?s sad and we all know the mayor in the city Council is fully aware of it
4183169,2023-04-08T06:25:00,Peninsula,Traffic Engineering,open,2229?2299 Bolinas St,Fire hydrant needs red paint on curb. People are constantly parking directly in front of or too close to it
4183170,2023-04-08T06:28:00,Downtown,Shared Mobility Device,open,677 Seventh Ave,5 is greater than four But Bird is not known for their math skills
4183172,2023-04-08T06:36:00,Downtown,Shared Mobility Device,open,707 G St,1
4183176,2023-04-08T06:38:00,Downtown,Shared Mobility Device,open,545 F St,2
4183177,2023-04-08T06:38:00,Carmel Valley,Sidewalk Repair Issue,open,13428 Pantera Road,Raised sidewalk at location please refer to asphalt ped ramping crew.
4183178,2023-04-08T06:40:00,Downtown,Shared Mobility Device,open,"614 06TH AV, San Diego, CA 92101, USA",3
4183179,2023-04-08T06:40:00,Downtown,Encampment,open,651 Sixth Ave,A 602 left behind this mess when they relocated.
4183180,2023-04-08T06:40:00,Downtown,Shared Mobility Device,open,534 Market St,4
4183181,2023-04-08T06:41:00,Downtown,Shared Mobility Device,open,"580 MARKET ST, San Diego, CA 92101, USA",5
4183182,2023-04-08T06:43:00,College Area,Encampment,open,6646 Mohawk St,Homeless terrorizing neighborhood
4183183,2023-04-08T06:44:00,Downtown,Shared Mobility Device,open,345 Sixth Ave,6
4183184,2023-04-08T06:45:00,Navajo,Parking,open,"6585 Carthage St, San Diego, CA 92120, USA",Repeat 72 Hour Parking Violator. Currently parked at the location for over six (6) weeks without movement.  Previous parked across the street for over five (5) weeks without movemet. Expired registration. Person seen spray-painting a red tool box and left over spray on the street by the speed limit sign across from the current location. As well as a black can overspray on the sidewalk a shrot distance away. The person doesn't live in the vicinity but has been seen loitering in the Dollar Tree parking lot along Zion in another red SUV.
4183185,2023-04-08T06:45:00,Downtown,Shared Mobility Device,open,338 Seventh Ave,7
4183187,2023-04-08T06:48:00,La Jolla,Encampment,open,"8994 GILMAN DR, San Diego, CA 92037, USA",Homeless bum keeps on coming back sidewalk under bridge with all his junk
4183192,2023-04-08T06:53:00,Downtown,Shared Mobility Device,open,303 Market St,11
4183196,2023-04-08T06:56:00,North Park,Parks Issue,open,"POLK AV & IDAHO ST,, 92104",TRANG 619-488-7339 PER CALLER LUMP OF BEES ON GATE AT North Park Community Park AT THE IDAHO & POLK ENTRANCE IN FRONT OF THE SOCCER FIELD ACROSS FROM THE PLAYGROUND
4183197,2023-04-08T06:56:00,Downtown,Shared Mobility Device,open,711 Fourth Ave,13
4183198,2023-04-08T06:57:00,Downtown,Shared Mobility Device,open,658 Fifth Ave,14
4183199,2023-04-08T06:58:00,Downtown,Shared Mobility Device,open,732 Fourth Ave,15
4183202,2023-04-08T07:01:00,Downtown,Encampment,open,899 Park Blvd,Homeless encampment
4183203,2023-04-08T07:02:00,Downtown,Shared Mobility Device,open,110 W Island Ave,16
4183204,2023-04-08T07:05:00,Downtown,Shared Mobility Device,open,439?449 W Market St,17
4183205,2023-04-08T07:09:00,Downtown,Encampment,open,"672 ISLAND AV, San Diego, CA 92101, USA",ENCAMPMENT
4183208,2023-04-08T07:09:00,Mid-City:City Heights,Missed Collection,open,4335 Laurel Street,Missed collection in front of 4335 laurel st 92105
4183209,2023-04-08T07:10:00,Downtown,Shared Mobility Device,open,855 W G St,18
4183210,2023-04-08T07:10:00,Midway-Pacific Highway,Pothole,open,Pacific Hwy,Potholes and damaged asphalt  || LOCATION: Middle  || LANE: Both  || Unknown
4183211,2023-04-08T07:11:00,Skyline-Paradise Hills,Parking,open,3505 Alta View Drive,Abandoned Vehicle
4183212,2023-04-08T07:11:00,Kearny Mesa,Parking,open,"4653 Mercury St, San Diego, CA 92111, USA",Parks for weeks on he SW corner of Mercury and Engineer. 72 hour violation and too close the corner. The plates has no tags at all.
4183213,2023-04-08T07:12:00,Mid-City:Kensington-Talmadge,Missed Collection,open,4930 Lucille Dr,Green cans not picked up
4183216,2023-04-08T07:14:00,Kearny Mesa,Parking,open,"4653 Mercury St, San Diego, CA 92111, USA",Parked for way over 72 hours and has not current tags. Expired in 2022.
4183220,2023-04-08T07:17:00,Downtown,Shared Mobility Device,open,"375 W F ST, San Diego, CA 92101, USA",22
4183221,2023-04-08T07:17:00,Downtown,Encampment,open,"732 ISLAND AV, San Diego, CA 92101, USA",ENCAMPMENT
4183222,2023-04-08T07:18:00,Kearny Mesa,Parking,open,"4653 Mercury St, San Diego, CA 92111, USA",Parked on public street for way over 72 hours. Does not have current tags - Expired in 2022.
4183224,2023-04-08T07:20:00,Pacific Beach,Environmental Services Code Compliance,open,1424 Pacific Beach Drive,Shopping cart dumped on sidewalk
4183225,2023-04-08T07:20:00,Downtown,Shared Mobility Device,open,210 W G St,23
4183226,2023-04-08T07:22:00,Downtown,Shared Mobility Device,open,"692 01ST AV, San Diego, CA 92101, USA",24
4183229,2023-04-08T07:24:00,Downtown,Shared Mobility Device,open,1020 First Ave,26
4183230,2023-04-08T07:25:00,Downtown,Shared Mobility Device,open,First Ave,27
4183235,2023-04-08T07:30:00,Midway-Pacific Highway,Pothole,open,3829?3849 Camino del Rio W,Chronic large pothieos abd badly damaged asphalt causing traffic delays as people stop their cars trying to avoid damage || LOCATION: All left lanes  || LANE: All  || Northbound
4183237,2023-04-08T07:32:00,Downtown,Sidewalk Repair Issue,open,"1252 11TH AV, San Diego, CA 92101, USA",Sink hole on side walk concrete is falling off and falling in
4183238,2023-04-08T07:32:00,Mid-City:City Heights,Traffic Engineering,open,"3696 FAIRMOUNT AV, San Diego, CA 92105, USA",Broken
4183243,2023-04-08T07:36:00,Downtown,Shared Mobility Device,open,690 B St,32
4183246,2023-04-08T07:38:00,Greater Golden Hill,Pothole,open,B St,"Pothole at B St on ramp for 163 || LOCATION: 163 on-ramp at base of steep B St hill   || LANE: On ramp, single lane || Northbound"
4183247,2023-04-08T07:39:00,Downtown,Shared Mobility Device,open,1411 Kettner Blvd,33
4183249,2023-04-08T07:40:00,Encanto Neighborhoods,Missed Collection,open,6691 Chantecler Avenue,Missed green trash collection
4183251,2023-04-08T07:41:00,Downtown,Shared Mobility Device,open,"689 W ASH ST, San Diego, CA 92101, USA",34
4183253,2023-04-08T07:42:00,Encanto Neighborhoods,Missed Collection,open,"537 Pitta St, San Diego, CA 92114, USA",Trash cans skipped again
4183254,2023-04-08T07:43:00,Otay Mesa-Nestor,Encampment,open,2201?2299 Donax Ave,Person living in car
4183255,2023-04-08T07:44:00,Downtown,Shared Mobility Device,open,1501 India St,G38QJ has broken stem.
4183256,2023-04-08T07:44:00,Navajo,Parking,open,"7901-8099 Laurelridge Rd, San Diego, CA 92120, USA","Northern Spirit by coachman 27?1? - 30+, No permit and oversized same spot 4 days so far"
4183258,2023-04-08T07:45:00,Uptown,Street Light Maintenance,open,2706 Fifth Ave,Street light in the picture does not work
4183260,2023-04-08T07:46:00,Ocean Beach,Graffiti - Public,open,1656 Bacon St,Graffiti on seawall
4183261,2023-04-08T07:47:00,Mid-City:City Heights,Parking,open,2724 Highland Ave,Translated: Car without moving for another 3 months Elsa
4183262,2023-04-08T07:47:00,Downtown,Shared Mobility Device,open,"1492 UNION ST, San Diego, CA 92101, USA",35
4183264,2023-04-08T07:49:00,Uptown,Tree Maintenance,open,501?599 Nutmeg St,City installed tree is dying
4183267,2023-04-08T07:51:00,Downtown,Shared Mobility Device,open,1350 Front St,37
4183268,2023-04-08T07:51:00,Mid-City:City Heights,Parking,open,2730 Highland Ave,Translated: Car left for more than 2 months Elsa
4183269,2023-04-08T07:51:00,Midway-Pacific Highway,Encampment,open,3629?3673 California St,Illegal Camping (Car on Sidewalk)
4183271,2023-04-08T07:52:00,Encanto Neighborhoods,Encampment,open,"4813 OCEAN VIEW BL, San Diego, CA 92113, USA",Homeless encampment
4183272,2023-04-08T07:53:00,Downtown,Encampment,open,"1340 ISLAND AV, San Diego, CA 92101, USA",Homeless encampment
4183273,2023-04-08T07:53:00,Navajo,Parking,open,"4539 Rainier Ave, San Diego, CA 92120, USA",Van parked for 6 months.person living in van.He has collected lots of trash that sitting on the side walk.parked next to Mc Donald and this trash is not good for the environment.This is health violationLots of homeless people hang around this van which is now a danger to all people visiting mc Donald or passing by.
4183274,2023-04-08T07:54:00,Mid-City:Kensington-Talmadge,Missed Collection,open,"4940 Lucille Dr, San Diego, CA 92115, USA",blue recycle not picked up on Friday
4183275,2023-04-08T07:54:00,Mid-City:City Heights,Encampment,open,"4027 Orange Ave, San Diego, CA 92105, USA","New sprawl of encampments have reappeared next to the school once again. There is one lady who refuses to leave on the East-most corner, where she simply moves her things to the park when help arrives, and moves right back to her corner hours after. This has gone on for over a year, and it?s frustrating to see that help is consistently offered yet refused time and time again."
4183276,2023-04-08T07:54:00,Downtown,Shared Mobility Device,open,530 B St,39
4183278,2023-04-08T07:54:00,Ocean Beach,Graffiti - Public,open,5116 Narragansett Ave,Graffiti on stairs down to seawall
4183279,2023-04-08T07:55:00,Downtown,Shared Mobility Device,open,"616 B ST, San Diego, CA 92101, USA",Forty
4183280,2023-04-08T07:55:00,North Park,Parking,open,4528 1/2 Oregon Street,Illegally parked car
4183281,2023-04-08T07:55:00,Peninsula,Pothole,open,"1874-1850 Santa Barbara St, San Diego, CA 92107, USA",There are 2 large potholes approxumately 3-5 feet in diameter starting to form and 1 small pothole about 1 foot in length now present in the middle of the street|| Describe the exact location of the pothole on the street./The potholes are just south of the alley that runs parallel to Niagria and Newport|| Which lane is the pothole in?/|| What is the direction of travel?/
4183282,2023-04-08T07:55:00,Downtown,Shared Mobility Device,open,1194 Sixth Ave,41
4183283,2023-04-08T07:55:00,North Park,Traffic Signal Issue,open,"3904 FLORIDA ST, San Diego, CA 92104, USA",Exposed wiring panel and wires in light pole
4183286,2023-04-08T07:57:00,Mid-City:City Heights,Parking,open,"3564 University Ave, San Diego, CA 92104, USA",Tha car are parked yesterday overnight and rest the morning so the green zone is only 15 minutes please send the car ticket to check it thanks
4183287,2023-04-08T07:57:00,Mid-City:City Heights,Parking,open,2607 44th St,Translated: Car abandoned for another 7 months Elsa
4183290,2023-04-08T08:00:00,Downtown,Shared Mobility Device,open,"1054 02ND AV, San Diego, CA 92101, USA",17
4183292,2023-04-08T08:01:00,Downtown,Shared Mobility Device,open,W Ash St,"#04182830, 04182657, 04182151  I started reporting this 18 hours ago. Bird lied when they closed it. All they did was move it a few feet onto the dirt. Bird is still illegally parked at the corner of Ash and Pac Hwy. it is not in a corral."
4183295,2023-04-08T08:02:00,Downtown,Encampment,open,571?595 15th St,Homeless encampment
4183296,2023-04-08T08:02:00,Downtown,Shared Mobility Device,open,868 Fifth Ave,42
4183297,2023-04-08T08:03:00,Ocean Beach,Encampment,open,"1890 BACON ST, San Diego, CA 92107, USA",Homeless on sidewalk
4183299,2023-04-08T08:04:00,Downtown,Shared Mobility Device,open,946 Fifth Ave,42
4183300,2023-04-08T08:04:00,Mission Beach,Parking,open,"3410 MISSION BL, San Diego, CA 92109, USA","illegally parked in commercial loading zone, blocking commercial delivery. No loading taking place. Parked in commercial zone since yesterday."
4183303,2023-04-08T08:08:00,Downtown,Shared Mobility Device,open,"756 BROADWAY, San Diego, CA 92101, USA",43
4183304,2023-04-08T08:09:00,Pacific Beach,Pothole,open,"5266 SOLEDAD RD, San Diego, CA 92109, USA","Lamont St full of potholes at Kate Sessions, people are driving on the shoulder to avoid them || LOCATION: Lamont St into Soledad Rd at Kate Sessions Park || LANE: The whole road || Northbound"
4183307,2023-04-08T08:10:00,University,Sidewalk Repair Issue,open,3202 Caminito Eastbluff,Sand bags on street drains all around Villa LA Jolla Park Now blocking all drains. Needs immediate attention
4183308,2023-04-08T08:10:00,Downtown,Shared Mobility Device,open,661?699 A St,19
4183310,2023-04-08T08:11:00,Greater Golden Hill,Encampment,open,1260-66 23rd Street,Homeless camp over a month right next to our property on the east side of the fence.  He's already removed cushions from one tenants patio and thrown an object at me while i was on the phone on one of the patios. Please remove this camp before something more happens.  Weve been asking and asking. If they need me to piont it out they can call me at 619-892-2513 Steve.
4183312,2023-04-08T08:11:00,Mission Beach,Traffic Sign Maintenance,open,"778 SAN LUIS OBISPO PL, San Diego, CA 92109, USA","Sign rusted, fallen"
4183313,2023-04-08T08:11:00,Downtown,Shared Mobility Device,open,646 A St,Twenty
4183314,2023-04-08T08:13:00,Downtown,Shared Mobility Device,open,1250 9th Ave,45
4183315,2023-04-08T08:13:00,Downtown,Shared Mobility Device,open,1250 9th Ave,21
4183317,2023-04-08T08:14:00,North Park,Pothole,open,4193 Ohio Street,Pot hole || LOCATION: It is in the intersection of Ohio and howard || LANE: In the middle  || Northbound
4183318,2023-04-08T08:14:00,Uptown,Illegal Dumping,open,346 Olive Street,Abandoned broken road signs
4183319,2023-04-08T08:14:00,Downtown,Encampment,open,318 16th St,Homeless encampment
4183320,2023-04-08T08:15:00,Downtown,Sidewalk Repair Issue,open,"928 05TH AV, San Diego, CA 92101, USA",Safety equipment causing safety hazzard
4183321,2023-04-08T08:16:00,Downtown,Shared Mobility Device,open,1430 Seventh Ave,22
4183325,2023-04-08T08:18:00,Uptown,Encampment,open,"1521 Washington Pl, San Diego, CA 92103, United States",second time I?ve notified that this car lives at the park 24/7..  I?ll be telling other can people this is a acceptable place to live since nothing is being done. Let?s just gave it a van living place. Do better SD!
4183326,2023-04-08T08:18:00,Downtown,Graffiti - Public,open,148 W Cedar St,Graffiti
4183327,2023-04-08T08:20:00,Downtown,Shared Mobility Device,open,301?331 Ash St,23
4183329,2023-04-08T08:20:00,Downtown,Shared Mobility Device,open,"316 ASH ST, San Diego, CA 92101, USA",46
4183331,2023-04-08T08:22:00,Southeastern San Diego,Sidewalk Repair Issue,open,2040 Kearney Ave,Sidewalk repair
4183332,2023-04-08T08:22:00,Downtown,Encampment,open,321 15th St,Homeless encampment
4183333,2023-04-08T08:23:00,Downtown,Shared Mobility Device,open,425 W Beech St,24
4183334,2023-04-08T08:23:00,Downtown,Shared Mobility Device,open,425 W Beech St,24
4183336,2023-04-08T08:24:00,Mission Valley,Encampment,open,Ocean Beach Bike Path,"Homeless encampment at I5 and 8 split going to mission bay. On going, needs to be torn out. Cave structure"
4183339,2023-04-08T08:25:00,Downtown,Shared Mobility Device,open,1542 State St,47
4183341,2023-04-08T08:26:00,Midway-Pacific Highway,Traffic Signal Issue,open,"SPORTS ARENA BL & KEMPER ST,, 92110","PER PD, 619-531-2060, TRAFFIC LIGHT FLSHNG RED"
4183343,2023-04-08T08:29:00,Mid-City:Eastern Area,Missed Collection,open,"4778 VALENCIA DR, San Diego, CA 92115",Entire street
4183344,2023-04-08T08:29:00,North Park,Parking,open,3437 Mississippi St,Car parked in front of our house since March 24.  Not moved.
4183346,2023-04-08T08:30:00,Downtown,Shared Mobility Device,open,1668 State St,26
4183348,2023-04-08T08:32:00,Downtown,Shared Mobility Device,open,602 W Fir St,27
4183349,2023-04-08T08:33:00,Peninsula,Parking,open,2449 Soto Street,"How about including the name of the officer in the report who keeps closing my cases? He's not doing his job and is wasting taxpayers money! He should be fired! Motorboat trailers left on Soto Street, that haven't moved an inch so stop lying on the police report. It's a dead end Street less than one tenth of a mile long"
4183350,2023-04-08T08:33:00,Navajo,Pothole,open,"6500 Cowles Mountain Blvd, San Diego, CA 92119, USA","TWO potholes within a few feet of some you just repaired. A small one starting next to them in the opposite lane. This street is in terrible condition and needs repaving, no longer a candidate for slurry!|| Describe the exact location of the pothole on the street./Cowles Mountain Blvd/San Carlos Dr.|| Which lane is the pothole in?/Both|| What is the direction of travel?/Unknown"
4183351,2023-04-08T08:33:00,Downtown,Shared Mobility Device,open,1844 India St,28
4183353,2023-04-08T08:34:00,North Park,Pothole,open,4250 Illinois Street,Pot hole || LOCATION: 3095. El cajon Blvd  || LANE: Right lane || Southbound
4183354,2023-04-08T08:34:00,Serra Mesa,Pothole,open,8710 Encino Ave,Pothole || LOCATION: Murray Ridgr Rd @ Encino || LANE: 1 || Eastbound
4183355,2023-04-08T08:35:00,University,Traffic Signal Timing,open,"Governor Dr, San Diego, CA, USA","The walk sign for crossing Genesee on the south side of Governor Drive is activating on every cycle of the light, even if no one is there to press the button. The cumulative effective of this is significant wasted time and gas for traffic needlessly waiting in all directions.  This problem has been going on some time and, despite multiple reports, nothing is ""getting done.""  Please correct the situation or provide the phone number for someone that I can talk to about it.  Thank you."
4183357,2023-04-08T08:35:00,Downtown,Shared Mobility Device,open,"827 W FIR ST, San Diego, CA 92101, USA",29
4183358,2023-04-08T08:36:00,North Park,Sidewalk Repair Issue,open,4250 Illinois Street,Side walk over growth
4183360,2023-04-08T08:37:00,Downtown,Shared Mobility Device,open,1752 Kettner Blvd,48
4183361,2023-04-08T08:37:00,Ocean Beach,Street Sweeping,open,"5149 SARATOGA AV, San Diego, CA 92107, USA","Grass at Saratoga Park is covered in sand, slowly choking it out. Can sand be suctioned out?"
4183362,2023-04-08T08:37:00,Downtown,Shared Mobility Device,open,1752 Kettner Blvd,Thirty
4183364,2023-04-08T08:39:00,Downtown,Shared Mobility Device,open,1670 Kettner Blvd,49
4183366,2023-04-08T08:39:00,Downtown,Shared Mobility Device,open,"1684 KETTNER BL, San Diego, CA 92101, USA",31
4183371,2023-04-08T08:42:00,Downtown,Shared Mobility Device,open,1541 India St,51
4183373,2023-04-08T08:43:00,Mid-City:Eastern Area,Sidewalk Repair Issue,open,2318 Blackton Drive,Sidewalk damage
4183376,2023-04-08T08:43:00,Downtown,Shared Mobility Device,open,1536 India St,52
4183378,2023-04-08T08:43:00,Downtown,Graffiti - Public,open,"1046 10TH AV, San Diego, CA 92101, USA","New Graffiti, Previous Location"
4183379,2023-04-08T08:44:00,Downtown,Shared Mobility Device,open,1536 India St,52
4183380,2023-04-08T08:44:00,Mid-City:Eastern Area,Sidewalk Repair Issue,open,2302 Blackton Drive,Sidewalk damage
4183381,2023-04-08T08:45:00,Mid-City:Kensington-Talmadge,Graffiti - Public,open,4493?4499 47th St,Graffiti
4183382,2023-04-08T08:45:00,Downtown,Shared Mobility Device,open,523 W Date St,32
4183383,2023-04-08T08:46:00,Mid-City:City Heights,Graffiti - Public,open,4293 Menlo Ave,Translated: Graffiti Fany
4183385,2023-04-08T08:47:00,Navajo,Pothole,open,7403 Mission Gorge Road,Pothole  || LOCATION: Princess view Dr 100 yards before intersection Mission Gorge rd. There like 4 of them || LANE: Center || Northbound
4183386,2023-04-08T08:47:00,Mission Bay Park,Encampment,open,"1404 Vacation Rd, San Diego, CA 92109, USA",Picnic Table and Fire Pit taken over by Homeless for more than 5 weeks. Using fishing poles as excuse to stay.
4183387,2023-04-08T08:47:00,Mid-City:City Heights,Graffiti - Public,open,4794 Wightman Street,Tagged power box and sidewalk
4183388,2023-04-08T08:48:00,Clairemont Mesa,Trash/Recycling Collection,open,4404 Rolfe Rd,Recycle truck left a mess in our neighborhood.
4183389,2023-04-08T08:48:00,Downtown,Shared Mobility Device,open,2020 Columbia St,53
4183391,2023-04-08T08:49:00,Mid-City:City Heights,Graffiti - Public,open,4275?4291 Menlo Ave,Translated: Graffiti Fany
4183392,2023-04-08T08:49:00,Uptown,Illegal Dumping,open,3532 Reynard Way,Abandoned golf cart
4183395,2023-04-08T08:49:00,Mid-City:Eastern Area,Sidewalk Repair Issue,open,2216 55th Street,Sidewalk sunken
4183396,2023-04-08T08:50:00,Downtown,Shared Mobility Device,open,"1988 INDIA ST, San Diego, CA 92101, USA",54
4183397,2023-04-08T08:50:00,Mid-City:Eastern Area,Sidewalk Repair Issue,open,2216 55th Street,Sidewal
4183398,2023-04-08T08:51:00,Mid-City:City Heights,Graffiti - Public,open,4663 El Cajon Blvd,Translated: Graffiti Fany
4183399,2023-04-08T08:52:00,Balboa Park,Encampment,open,Balboa Dr,Encampment 3200 Balboa Dr
4183400,2023-04-08T08:52:00,Downtown,Shared Mobility Device,open,"2110 INDIA ST, San Diego, CA 92101, USA",55
4183401,2023-04-08T08:53:00,Clairemont Mesa,Pothole,open,"3534 Mt Everest Blvd, San Diego, CA 92111, USA","The entire street in front of this address is one giant pothole. It is an absurd lack of response to repair the broken road infrastructure for a block in either direction of this address. The whole neighborhood has complained vocally for years, we all pay our taxes, and nothing is being done to address the ridiculous number and size of potholes on the southern end of Mount Everest Blvd. Apparently the city can fix the street farther to the north on Mount Everest, between this address and Balboa Ave., where it didn't even need repairs! What the heck is going on? Please fix our broken street!!!!!|| Describe the exact location of the pothole on the street./3534 Mt Everest Blvd, San Diego, CA 92111, USA; The entire street in front of this address is one giant pothole.|| Which lane is the pothole in?/ALL|| What is the direction of travel?/Southbound"
4183403,2023-04-08T08:53:00,Downtown,Shared Mobility Device,open,"2112 INDIA ST, San Diego, CA 92101, USA",33
4183405,2023-04-08T08:54:00,Uptown,Other,open,4552 North Ave,Construction outside of  permitted   Time.. next to 4548 north ave
4183406,2023-04-08T08:55:00,Downtown,Shared Mobility Device,open,800?898 W Juniper St,55
4183407,2023-04-08T08:55:00,Downtown,Encampment,open,660 Front St,Homeless
4183410,2023-04-08T08:56:00,Clairemont Mesa,Pothole,open,"3601 Mt Aladin Ave, San Diego, CA 92111, USA","There is a pothole the size of a laundry basket in the middle of the road here. Like, over a foot deep, and 2-3 feet across, and getting deeper.|| Describe the exact location of the pothole on the street./3601 Mt Aladin Ave, San Diego, CA 92111, USA...you can't miss it.|| Which lane is the pothole in?/ALL|| What is the direction of travel?/Northbound"
4183412,2023-04-08T08:58:00,Linda Vista,Encampment,open,"1040 Sherman St, San Diego, CA 92110, USA","A group of large homeless people next to the StorQuest self storage are using drugs, fighting and harassing people day and night"
4183413,2023-04-08T08:58:00,Downtown,Encampment,open,1402 K St,Homeless encampment
4183416,2023-04-08T09:00:00,Mid-City:City Heights,Parking,open,"2301 Fairmount Ave, San Diego, CA 92105, USA",Black or grey Ford Mustang GT was abandoned on our property since 4/3 at 3:18pm.
4183417,2023-04-08T09:00:00,Downtown,Shared Mobility Device,open,2339 India St,59
